iter	Passed	Remaining
402	12632	18714
403	12663	18681
404	12694	18650
405	12724	18617
406	12759	18590
407	12795	18565
408	12832	18542
409	12863	18510
410	12895	18480
411	12927	18449
412	12956	18415
413	12988	18384
414	13016	18348
415	13049	18320
416	13081	18289
417	13111	18255
418	13142	18223
419	13172	18191
420	13205	18160
421	13239	18133
422	13269	18100
423	13312	18085
424	13342	18051
425	13373	18020
426	13407	17991
427	13438	17959
428	13468	17927
429	13499	17894
430	13533	17866
431	13564	17834
432	13596	17803
433	13626	17770
434	13658	17740
435	13689	17708
436	13719	17674
437	13753	17646
438	13791	17624
439	13821	17591
440	13853	17559
441	13882	17525
442	13914	17495
443	13943	17460
444	13973	17427
445	14004	17395
446	14035	17363
447	14065	17330
448	14096	17298
449	14126	17265
450	14156	17232
451	14187	17200
452	14217	17167
453	14249	17137
454	14280	17105
455	14309	17071
456	14340	17039
457	14379	17016
458	14407	16981
459	14441	16952
460	14472	16920
461	14502	16888
462	14534	16858
463	14565	16826
464	14597	16795
465	14628	16763
466	14658	16729
467	14689	16698
468	14721	16667
469	14753	16636
470	14784	16605
471	14815	16573
472	14849	16544
473	14880	16513
474	14911	16480
475	14949	16457
476	14981	16425
477	15017	16400
478	15047	16366
479	15078	16335
480	15108	16302
481	15145	16276
482	15188	16258
483	15220	16226
484	15250	16194
485	15281	16161
486	15312	16130
487	15344	16098
488	15375	16067
489	15406	16035
490	15438	16004
491	15473	15976
492	15504	15944
493	15538	15915
494	15570	15884
495	15603	15854
496	15634	15823
497	15667	15793
498	15699	15761
499	15730	15730
500	15761	15698
501	15791	15666
502	15824	15635
503	15856	15604
504	15888	15573
505	15923	15545
506	15954	15513
507	15985	15482
508	16020	15453
509	16056	15426
510	16088	15396
511	16123	15367
512	16160	15341
513	16191	15309
514	16224	15279
515	16253	15245
516	16284	15213
517	16315	15181
518	16340	15144
519	16372	15112
520	16403	15081
521	16436	15051
522	16466	15018
523	16497	14986
524	16528	14954
525	16559	14922
526	16590	14890
527	16621	14858
528	16648	14823
529	16679	14791
530	16710	14759
531	16750	14735
532	16782	14703
533	16821	14679
534	16852	14647
535	16883	14615
536	16918	14587
537	16950	14555
538	16991	14532
539	17029	14506
540	17069	14482
541	17109	14458
542	17142	14427
543	17174	14396
544	17206	14365
545	17238	14333
546	17274	14306
547	17304	14273
548	17338	14243
549	17378	14218
550	17411	14188
551	17451	14163
552	17484	14132
553	17516	14101
554	17561	14081
555	17593	14049
556	17625	14018
557	17657	13986
558	17690	13956
559	17723	13925
560	17755	13894
561	17795	13869
562	17833	13842
563	17861	13807
564	17893	13776
565	17926	13745
566	17961	13716
567	17993	13685
568	18025	13653
569	18066	13628
570	18097	13596
571	18130	13566
572	18162	13534
573	18194	13502
574	18226	13472
575	18271	13450
576	18303	13418
577	18338	13388
578	18371	13358
579	18411	13332
580	18448	13304
581	18479	13272
582	18521	13247
583	18554	13216
584	18587	13185
585	18619	13154
586	18653	13124
587	18686	13092
588	18726	13067
589	18758	13035
590	18791	13004
591	18824	12973
592	18858	12943
593	18906	12922
594	18935	12888
595	18966	12856
596	18998	12824
597	19028	12791
598	19065	12763
599	19095	12730
600	19127	12698
601	19157	12665
602	19196	12638
603	19229	12607
604	19265	12578
605	19295	12545
606	19326	12512
607	19364	12485
608	19396	12453
609	19427	12421
610	19457	12388
611	19487	12354
612	19521	12324
613	19551	12291
614	19582	12258
615	19614	12226
616	19643	12193
617	19674	12161
618	19714	12134
619	19745	12101
620	19782	12073
621	19815	12042
622	19845	12009
623	19888	11983
624	19919	11951
625	19950	11919
626	19985	11889
627	20015	11856
628	20057	11830
629	20088	11798
630	20119	11765
631	20149	11732
632	20182	11701
633	20210	11667
634	20241	11635
635	20275	11604
636	20306	11571
637	20338	11539
638	20370	11507
639	20399	11474
640	20431	11442
641	20467	11413
642	20498	11380
643	20537	11352
644	20568	11320
645	20598	11287
646	20631	11256
647	20674	11230
648	20705	11197
649	20735	11165
650	20767	11133
651	20799	11101
652	20830	11069
653	20860	11036
