iter	Logloss
0	0.6729820708
1	0.6541053731
2	0.6362087641
3	0.6193574934
4	0.603618232
5	0.5884875041
6	0.5742651804
7	0.5609636821
8	0.5482920431
9	0.5363031289
10	0.5249792055
11	0.5143996272
12	0.5043274158
13	0.494797815
14	0.4859376946
15	0.4774023249
16	0.4692804511
17	0.4619065517
18	0.4549378798
19	0.4482823979
20	0.4417962128
21	0.4356972219
22	0.4298848946
23	0.4245212321
24	0.419369593
25	0.4145315553
26	0.4099388017
27	0.4056220114
28	0.4015448183
29	0.3976424219
30	0.3939758813
31	0.3905729202
32	0.3872808531
33	0.3841120267
34	0.3811185208
35	0.3781281203
36	0.3755299648
37	0.3730177859
38	0.3706438879
39	0.3681712179
40	0.3657770417
41	0.3635016914
42	0.361391747
43	0.3593593985
44	0.3574688853
45	0.3558897661
46	0.3543707333
47	0.3527404697
48	0.3513807443
49	0.3499617183
50	0.3485897213
51	0.3472194453
52	0.346162883
53	0.3449930695
54	0.3438888422
55	0.3428378171
56	0.3418273484
57	0.3408732996
58	0.3399616405
59	0.3391024728
60	0.3383188059
61	0.3375043101
62	0.3367718999
63	0.3360504145
64	0.3353877434
65	0.3347556019
66	0.3342201373
67	0.3336094338
68	0.3330284742
69	0.3325807821
70	0.3321137472
71	0.3316345902
72	0.3311527394
73	0.3307952143
74	0.3303745723
75	0.3299818783
76	0.3296128672
77	0.329214
78	0.3288499649
79	0.3285619544
80	0.3282456217
81	0.327988889
82	0.3277096707
83	0.3274948414
84	0.327276121
85	0.3269893452
86	0.3267204157
87	0.3264895733
88	0.3262858558
89	0.3260734957
90	0.3258506599
91	0.3256568944
92	0.3254745776
93	0.3253061412
94	0.3251309329
95	0.3249999476
96	0.3248672787
97	0.324688591
98	0.3245109882
99	0.3243754011
100	0.3242545549
101	0.3241315761
102	0.3240121143
103	0.3238988256
104	0.3237914484
105	0.3236868397
106	0.3235841766
107	0.3234876867
108	0.323415179
109	0.3233309608
110	0.3232450964
111	0.3231626741
112	0.3230852278
113	0.3229869046
114	0.3228800137
115	0.3228114345
116	0.3227458483
117	0.3226754731
118	0.322604462
119	0.3225460218
120	0.3224934182
121	0.3224219206
122	0.3223678205
123	0.3223115503
124	0.3222629499
125	0.3222081763
126	0.3221661607
127	0.3221168495
128	0.3220622255
129	0.3220240636
130	0.3219878471
131	0.3219453452
132	0.3219110743
133	0.3218719396
134	0.3218310464
135	0.32179266
136	0.3217527022
137	0.3217050371
138	0.3216724498
139	0.3216413965
140	0.3215831434
141	0.3215554198
142	0.3215251148
143	0.3214841468
144	0.3214446379
145	0.3214225264
146	0.3213849631
147	0.3213634502
148	0.3213382334
149	0.3213135404
150	0.3212788579
151	0.3212575695
152	0.3212341486
153	0.3212145812
154	0.3211892896
155	0.3211681508
156	0.3211332065
157	0.3210955683
158	0.321077273
159	0.3210610355
160	0.3210464441
161	0.3210298699
162	0.3210164758
163	0.3209975071
164	0.3209779771
165	0.3209630491
166	0.3209475598
167	0.320932295
168	0.3209172173
169	0.320879205
170	0.3208682802
171	0.320854063
172	0.3208416791
173	0.3208291455
174	0.3208176595
175	0.3208041906
176	0.3207930787
177	0.3207649436
178	0.3207549168
179	0.3207309346
180	0.3207214689
181	0.3206967011
182	0.3206873477
183	0.3206791541
184	0.3206679674
185	0.3206387099
186	0.320623258
187	0.3206142787
188	0.3206047382
189	0.3205960957
190	0.3205861062
191	0.3205559508
192	0.3205451757
193	0.3205366079
194	0.3205229519
195	0.3205153196
196	0.3204989698
197	0.3204881198
198	0.3204789909
199	0.3204697123
200	0.3204605833
201	0.3204522775
202	0.3204289688
203	0.3204212242
204	0.3204137414
205	0.3203934258
206	0.3203869158
207	0.3203691069
208	0.3203442268
209	0.3203166155
210	0.3202955516
211	0.3202717939
212	0.3202643486
213	0.3202378971
214	0.3202280947
215	0.3202226698
216	0.3202154863
217	0.320200259
218	0.3201940109
219	0.3201719742
220	0.32015106
221	0.3201393869
222	0.320134149
223	0.3201244588
224	0.3201150306
225	0.3201052282
226	0.3200906369
227	0.3200725287
228	0.3200525123
229	0.3200468629
230	0.3200415875
231	0.3200339177
232	0.3200271085
233	0.320007803
234	0.3199909668
235	0.3199793312
236	0.319955162
237	0.3199448358
238	0.3199315913
239	0.3199091805
240	0.3198878922
241	0.3198823549
242	0.3198685867
243	0.3198609543
244	0.3198446794
245	0.3198405264
246	0.319835513
247	0.319816881
248	0.3197977626
249	0.3197760253
250	0.3197640903
251	0.3197521927
252	0.3197478902
253	0.3197446726
254	0.3197381252
255	0.3197182959
256	0.3197041536
257	0.31969596
258	0.3196913581
259	0.3196872052
260	0.3196828652
261	0.3196656923
262	0.3196617265
263	0.3196583966
264	0.3196400639
265	0.3196246869
266	0.3196204218
267	0.3196167926
268	0.3196061672
269	0.3195925112
270	0.3195829333
271	0.3195797157
272	0.3195706242
273	0.3195644509
274	0.3195568933
275	0.3195403565
276	0.3195330982
277	0.3195169729
278	0.3195120343
279	0.3194968444
280	0.3194930282
281	0.3194779879
282	0.319466876
283	0.3194542676
284	0.3194422578
285	0.3194238129
286	0.3194182382
287	0.3194060414
288	0.3193910759
289	0.3193788791
290	0.3193626789
291	0.3193476386
292	0.3193425878
293	0.3193290814
294	0.3193180818
295	0.3193039395
296	0.3192907324
297	0.3192825388
298	0.3192707161
299	0.3192675359
300	0.3192627096
301	0.3192565737
302	0.319246921
303	0.3192315066
304	0.3192263061
305	0.3192136602
306	0.3192046435
307	0.319198358
308	0.3191950282
309	0.3191869095
310	0.3191759098
311	0.3191739643
312	0.3191609444
313	0.3191559309
314	0.3191487849
315	0.3191365132
316	0.3191296291
317	0.319124279
318	0.3191194526
319	0.3191130549
320	0.3191070687
321	0.319102579
322	0.3190959194
323	0.3190894468
324	0.3190866034
325	0.3190757534
326	0.3190733215
327	0.3190637062
328	0.3190577949
329	0.3190493768
330	0.3190432783
331	0.3190277143
332	0.3190206431
333	0.3190092693
334	0.3190062388
335	0.3189948276
336	0.3189871952
337	0.3189772806
338	0.3189697605
339	0.3189618662
340	0.3189528495
341	0.3189499686
342	0.3189479857
343	0.3189463021
344	0.3189323468
345	0.3189284558
346	0.318923143
347	0.3189159222
348	0.3189124427
349	0.3189009567
350	0.3188922767
351	0.3188876374
352	0.3188780595
353	0.3188718863
354	0.3188678456
355	0.3188627573
356	0.3188536658
357	0.3188504857
358	0.3188399724
359	0.318836231
360	0.3188318162
361	0.3188268776
362	0.3188155039
363	0.3188057389
364	0.3188002391
365	0.3187982562
366	0.3187854233
367	0.3187796242
368	0.3187773419
369	0.3187750971
370	0.3187669409
371	0.3187568766
372	0.3187467749
373	0.3187388807
374	0.3187355508
375	0.3187279184
376	0.3187209595
377	0.3187176297
378	0.3187125414
379	0.318710783
380	0.3187013547
381	0.3186916646
382	0.3186859403
383	0.3186833588
384	0.3186727707
385	0.3186705633
386	0.3186640907
387	0.3186578426
388	0.3186540638
389	0.3186508463
390	0.3186426901
391	0.3186355815
392	0.3186258165
393	0.3186217758
394	0.3186192691
395	0.3186110755
396	0.3186066607
397	0.318596559
398	0.3185913959
399	0.3185868689
400	0.3185778148
401	0.3185738115
402	0.3185630364
403	0.3185574243
404	0.3185492307
405	0.3185435064
406	0.3185422344
407	0.3185381189
408	0.3185361733
409	0.3185325816
410	0.3185257349
411	0.3185223677
412	0.3185194868
413	0.3185143986
414	0.3185100586
415	0.3185070655
416	0.3185040724
417	0.3184986848
418	0.3184947938
419	0.31848993
420	0.3184773216
421	0.3184737299
422	0.3184680056
423	0.3184656111
424	0.318463067
425	0.3184561829
426	0.3184540503
427	0.3184466424
428	0.318436204
429	0.3184319014
430	0.3184286838
431	0.3184220242
432	0.3184146537
